X,Y,OBJECTID,SERVICECODE,SERVICECODEDESCRIPTION,SERVICETYPECODEDESCRIPTION,ORGANIZATIONACRONYM,SERVICECALLCOUNT,ADDDATE,RESOLUTIONDATE,SERVICEDUEDATE,SERVICEORDERDATE,INSPECTIONFLAG,INSPECTIONDATE,INSPECTORNAME,SERVICEORDERSTATUS,STATUS_CODE,SERVICEREQUESTID,PRIORITY,STREETADDRESS,XCOORD,YCOORD,LATITUDE,LONGITUDE,CITY,STATE,ZIPCODE,MARADDRESSREPOSITORYID,WARD
-76.992121062204589,38.843357346505378,476,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2018-06-26T12:36:50.000Z,2018-07-12T08:54:40.000Z,2018-07-17T12:36:00.000Z,2018-06-26T12:36:50.000Z,Y,2018-07-12T08:54:00.000Z,,CLOSED,CLOSED,18-00335323,STANDARD,3214 10TH PLACE SE,400684.19,130616.71,38.8433499,-76.99211878,WASHINGTON,DC,20032,38346,8
-77.018713218013204,38.91443134454007,477,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2018-06-25T06:48:19.000Z,2018-07-03T14:27:47.000Z,2018-07-13T17:00:00.000Z,2018-06-25T06:48:19.000Z,Y,2018-07-03T14:27:00.000Z,,CLOSED,CLOSED,18-00331057,STANDARD,1803 5TH STREET NW,398377.27,138506.6,38.91442389,-77.01871093,WASHINGTON,DC,20001,238759,6
-76.929197098599303,38.908055375625175,478,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2018-07-11T16:05:33.000Z,2018-07-18T15:39:49.000Z,2018-07-31T16:05:00.000Z,2018-07-11T16:05:33.000Z,Y,2018-07-18T15:39:00.000Z,,CLOSED,CLOSED,18-00369157,STANDARD,1314 EASTERN AVENUE NE,406141.22,137801.03,38.90804792,-76.92919484,WASHINGTON,DC,20019,68269,7
-77.03016201237098,38.897569820991386,479,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2018-07-18T09:30:30.000Z,2018-07-19T08:42:46.000Z,2018-08-07T09:30:00.000Z,2018-07-18T09:30:30.000Z,Y,2018-07-19T08:42:00.000Z,,CLOSED,CLOSED,18-00383306,STANDARD,1309 F STREET NW,397383.74,136635.1,38.89756237,-77.03015972,WASHINGTON,DC,20004,240660,2
-77.01916097265439,38.881477866940301,480,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2018-07-12T09:40:57.000Z,,2018-08-01T09:40:00.000Z,2018-07-12T09:40:57.000Z,Y,,,OPEN,OPEN,18-00370328,STANDARD,507 G STREET SW,398337.67,134848.51,38.88147042,-77.01915868,WASHINGTON,DC,20024,13846,6
-77.062916076198761,38.906979334839797,481,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2018-07-18T10:37:48.000Z,,2018-08-07T10:37:00.000Z,2018-07-18T10:37:48.000Z,Y,,,OPEN,OPEN,18-00383597,STANDARD,1303 WISCONSIN AVENUE NW,394543.15,137681.08,38.90697188,-77.06291377,WASHINGTON,DC,20007,223446,2
-76.98141199349098,38.870941917984069,482,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2018-06-27T15:04:23.000Z,2018-07-12T08:40:09.000Z,2018-07-18T15:04:00.000Z,2018-06-27T15:04:23.000Z,Y,2018-07-12T08:40:00.000Z,,CLOSED,CLOSED,18-00338880,STANDARD,1620 Q STREET SE,401613.25,133678.93,38.87093447,-76.98140972,WASHINGTON,DC,20020,59499,8
-77.03304563541451,38.935768248192979,483,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2018-06-25T21:23:44.000Z,2018-06-27T15:05:15.000Z,2018-07-16T17:00:00.000Z,2018-06-25T21:23:44.000Z,Y,2018-06-27T15:05:00.000Z,,CLOSED,CLOSED,18-00333779,STANDARD,3548 14TH STREET NW,397135.13,140875.53,38.93576079,-77.03304334,WASHINGTON,DC,20010,284752,1
-77.032209262159924,38.910139892768946,484,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2018-07-06T10:43:04.000Z,2018-07-13T14:42:38.000Z,2018-07-26T10:43:00.000Z,2018-07-06T10:43:04.000Z,Y,2018-07-13T14:42:00.000Z,,CLOSED,CLOSED,18-00357266,STANDARD,1512 14TH STREET NW,397206.64,138030.54,38.91013244,-77.03220697,WASHINGTON,DC,20005,302006,2
-77.005720657648453,38.912037746266776,485,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2018-07-04T10:35:26.000Z,,2018-07-24T17:00:00.000Z,2018-07-04T10:35:26.000Z,Y,,,OPEN,OPEN,18-00352838,STANDARD,120 QUINCY PLACE NE,399504.05,138240.74,38.91203029,-77.00571837,WASHINGTON,DC,20002,72252,5
-76.959098760682039,38.894346244550121,486,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2018-06-28T08:47:33.000Z,2018-07-11T16:16:38.000Z,2018-07-18T17:00:00.000Z,2018-06-28T08:47:33.000Z,Y,2018-07-11T16:16:00.000Z,,CLOSED,CLOSED,18-00340114,STANDARD,3310 CLAY PLACE NE,403548.41,136277.62,38.89433879,-76.95909649,WASHINGTON,DC,20019,36766,7
-77.025658313557756,38.924896559487102,487,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2018-06-26T01:58:24.000Z,2018-06-27T15:11:17.000Z,2018-07-16T17:00:00.000Z,2018-06-26T01:58:24.000Z,Y,2018-06-27T15:11:00.000Z,,CLOSED,CLOSED,18-00333895,STANDARD,FAIRMONT STREET NW AND SHERMAN AVENUE NW,397775.27413989,139668.47302304,38.9248891005926,-77.0256560206293,WASHINGTON,DC,20001,905397,1
-77.007076470187627,38.915354451951025,488,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2018-07-04T10:51:40.000Z,,2018-07-24T17:00:00.000Z,2018-07-04T10:51:40.000Z,Y,,,OPEN,OPEN,18-00352853,STANDARD,49 T STREET NE,399386.49,138608.93,38.915347,-77.00707418,WASHINGTON,DC,20002,16507,5
-77.023995091631548,38.924278014025738,489,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2018-07-05T14:20:40.000Z,2018-07-12T07:07:05.000Z,2018-07-25T14:20:00.000Z,2018-07-05T14:20:40.000Z,Y,2018-07-12T07:07:00.000Z,,CLOSED,CLOSED,18-00355354,STANDARD,803 EUCLID STREET NW,397919.48,139599.77,38.92427056,-77.0239928,WASHINGTON,DC,20001,232397,1
-76.996937156378891,38.897560883353279,490,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2018-07-18T09:33:29.000Z,,2018-08-07T09:33:00.000Z,2018-07-18T09:33:29.000Z,Y,,,OPEN,OPEN,18-00383323,STANDARD,644 F STREET NE,400265.89,136633.68,38.89755343,-76.99693487,WASHINGTON,DC,20002,1823,6
-77.016808408098356,38.94685938663936,491,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2018-07-19T13:49:21.000Z,,2018-08-08T13:49:00.000Z,2018-07-19T13:49:21.000Z,Y,,,OPEN,OPEN,18-00387101,STANDARD,4612 NEW HAMPSHIRE AVENUE NW,398543.13,142106.36,38.94685192,-77.01680612,WASHINGTON,DC,20011,243946,4
-77.030024704019098,38.927119285299817,492,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2018-07-12T21:51:33.000Z,,2018-08-01T17:00:00.000Z,2018-07-12T21:51:33.000Z,Y,,,OPEN,OPEN,18-00372670,STANDARD,2910 13TH STREET NW,397396.73,139915.33,38.92711183,-77.03002241,WASHINGTON,DC,20009,231564,1
-76.994540953922154,38.858820104622282,493,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2018-06-25T15:37:23.000Z,2018-06-27T15:34:22.000Z,2018-07-16T15:37:00.000Z,2018-06-25T15:37:23.000Z,Y,2018-06-27T15:34:00.000Z,,CLOSED,CLOSED,18-00333127,STANDARD,2515 STANTON ROAD SE,400474.01,132333.17,38.85881266,-76.99453867,WASHINGTON,DC,20020,46472,8
-77.001184150460517,38.885915522735054,494,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2018-07-20T17:44:23.000Z,,2018-08-09T17:00:00.000Z,2018-07-20T17:44:23.000Z,Y,,,OPEN,OPEN,18-00390346,STANDARD,321 C STREET SE,399897.46,135340.95,38.88590807,-77.00118187,WASHINGTON,DC,20003,38637,6
-77.017432783559002,38.943328948331306,495,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2018-07-06T19:00:49.000Z,2018-07-20T11:01:18.000Z,2018-07-26T17:00:00.000Z,2018-07-06T19:00:49.000Z,Y,2018-07-20T11:01:00.000Z,,CLOSED,CLOSED,18-00359123,STANDARD,4300 4TH STREET NW,398488.93,141714.46,38.94332149,-77.01743049,WASHINGTON,DC,20011,248097,4
-77.025400015781855,38.904434422264373,496,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2018-07-09T11:30:51.000Z,2018-07-18T14:00:14.000Z,2018-07-27T11:30:00.000Z,2018-07-09T11:30:51.000Z,Y,2018-07-18T14:00:00.000Z,,CLOSED,CLOSED,18-00362019,STANDARD,933 L STREET NW,397797.04,137397,38.90442697,-77.02539772,WASHINGTON,DC,20001,239808,2
-77.005475625100942,38.917820839416336,497,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2018-07-18T16:09:46.000Z,,2018-08-07T16:09:00.000Z,2018-07-18T16:09:46.000Z,Y,,,OPEN,OPEN,18-00385091,STANDARD,131 RHODE ISLAND AVENUE NE,399525.34,138882.71,38.91781338,-77.00547334,WASHINGTON,DC,20002,68496,5
-76.980984833230679,38.930570248440205,498,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2018-07-11T16:27:58.000Z,,2018-07-31T16:27:00.000Z,2018-07-11T16:27:58.000Z,Y,,,OPEN,OPEN,18-00369236,STANDARD,3200 - 3299 BLOCK OF 17TH STREET NE,401648.94,140298.16,38.9305624534347,-76.9809825537504,WASHINGTON,DC,20018,807173,5
-77.008371711855162,38.966427416951511,499,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2018-07-17T11:15:30.000Z,2018-07-20T08:14:18.000Z,2018-08-06T11:15:00.000Z,2018-07-17T11:15:30.000Z,Y,2018-07-20T08:16:00.000Z,,CLOSED,CLOSED,18-00380998,STANDARD,1 - 42 BLOCK OF SHERIDAN STREET NE,399274.68,144278.49,38.9664196157441,-77.0083694216489,WASHINGTON,DC,20011,815144,4
-77.019660884676298,38.93900713705959,500,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2018-06-25T11:25:12.000Z,2018-07-02T13:13:54.000Z,2018-07-16T11:25:00.000Z,2018-06-25T11:25:12.000Z,Y,2018-07-02T13:13:00.000Z,,CLOSED,CLOSED,18-00331957,STANDARD,521 RANDOLPH STREET NW,398295.67,141234.74,38.93899968,-77.01965859,WASHINGTON,DC,20011,247710,4
-76.983582418516193,38.868051084673276,501,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2018-06-25T12:35:18.000Z,2018-06-28T08:32:30.000Z,2018-07-16T12:35:00.000Z,2018-06-25T12:35:18.000Z,Y,2018-06-28T08:31:00.000Z,,CLOSED,CLOSED,18-00332283,STANDARD,1501 S STREET SE,401424.96,133357.99,38.86804364,-76.98358014,WASHINGTON,DC,20020,62619,8
-77.026930969712652,38.931687703842414,502,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2018-06-25T12:36:16.000Z,2018-06-27T15:00:28.000Z,2018-07-16T12:36:00.000Z,2018-06-25T12:36:16.000Z,Y,2018-06-27T15:00:00.000Z,,CLOSED,CLOSED,18-00332286,STANDARD,3336 SHERMAN AVENUE NW,397665.14,140422.38,38.93168024,-77.02692868,WASHINGTON,DC,20010,231029,1
-77.017423801030901,38.943390025862769,503,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2018-06-25T16:31:58.000Z,2018-07-05T09:10:50.000Z,2018-07-16T16:31:00.000Z,2018-06-25T16:31:58.000Z,Y,2018-07-05T09:10:00.000Z,,CLOSED,CLOSED,18-00333294,STANDARD,4302 4TH STREET NW,398489.71,141721.24,38.94338256,-77.01742151,WASHINGTON,DC,20011,248119,4
-77.019912099748254,38.89981852396572,504,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2018-07-17T17:53:40.000Z,,2018-08-06T17:00:00.000Z,2018-07-17T17:53:40.000Z,Y,,,OPEN,OPEN,18-00382565,STANDARD,,398272.94156435,136884.48006046,38.8998110699141,-77.0199098101149,,,20001,907392,2
-77.020976473517777,38.941234929601407,505,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2018-07-18T20:18:08.000Z,,2018-08-07T17:00:00.000Z,2018-07-18T20:18:08.000Z,Y,,,OPEN,OPEN,18-00385520,STANDARD,4106 NEW HAMPSHIRE AVENUE NW,398181.67,141482.07,38.94122747,-77.02097418,WASHINGTON,DC,20011,247613,4
-77.008749429837437,38.923597229350129,506,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2018-06-25T14:14:36.000Z,2018-07-06T12:20:23.000Z,2018-07-16T14:14:00.000Z,2018-06-25T14:14:36.000Z,Y,2018-07-06T12:20:00.000Z,,CLOSED,CLOSED,18-00332795,STANDARD,2535 NORTH CAPITOL STREET NE,399241.49,139523.96,38.92358977,-77.00874714,WASHINGTON,DC,20002,46198,5
-76.983038375973095,38.868704657161651,507,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2018-07-02T13:49:15.000Z,2018-07-12T08:37:56.000Z,2018-07-23T13:49:00.000Z,2018-07-02T13:49:15.000Z,Y,2018-07-12T08:37:00.000Z,,CLOSED,CLOSED,18-00348457,STANDARD,1461 RIDGE PLACE SE,401472.16,133430.55,38.86869721,-76.9830361,WASHINGTON,DC,20020,62964,8
-77.00847196858011,38.913883567988613,508,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2018-06-25T16:53:55.000Z,2018-07-06T12:37:13.000Z,2018-07-16T16:53:00.000Z,2018-06-25T16:53:55.000Z,Y,2018-07-06T12:37:00.000Z,,CLOSED,CLOSED,18-00333390,STANDARD,11 S STREET NE,399265.45,138445.66,38.91387611,-77.00846968,WASHINGTON,DC,20002,74511,5
-77.012155208166703,38.917007603818476,509,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2018-07-12T09:34:45.000Z,,2018-08-01T09:34:00.000Z,2018-07-12T09:34:45.000Z,Y,,,OPEN,OPEN,18-00370299,STANDARD,,398946.05999698,138792.49001423,38.9170001460109,-77.0121529198628,,,20001,904721,5
-76.95175638351499,38.906729758830608,510,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2018-06-29T10:22:32.000Z,2018-07-06T12:15:35.000Z,2018-07-20T10:22:00.000Z,2018-06-29T10:22:32.000Z,Y,2018-07-06T12:15:00.000Z,,CLOSED,CLOSED,18-00343373,STANDARD,3582 HAYES STREET NE,404184.64,137652.6,38.9067223,-76.95175411,WASHINGTON,DC,20019,295255,7
-76.994964231681479,38.896732585932277,511,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2018-06-25T13:57:00.000Z,2018-07-06T13:51:51.000Z,2018-07-16T13:57:00.000Z,2018-06-25T13:57:00.000Z,Y,2018-07-06T13:51:00.000Z,,CLOSED,CLOSED,18-00332708,STANDARD,,400437.04,136541.74,38.8967247982704,-76.9949619499125,,,20002,,6
-77.027295403812104,38.919588366669402,512,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2018-07-10T09:08:10.000Z,2018-07-12T14:58:53.000Z,2018-07-30T09:08:00.000Z,2018-07-10T09:08:10.000Z,Y,2018-07-12T14:59:00.000Z,,CLOSED,CLOSED,18-00364267,STANDARD,2212 11TH STREET NW,397633.14,139079.26,38.91958091,-77.02729311,WASHINGTON,DC,20001,238974,1
-77.046170223313226,38.932318123829546,513,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2018-07-09T14:11:26.000Z,2018-07-12T15:05:38.000Z,2018-07-27T14:11:00.000Z,2018-07-09T14:11:26.000Z,Y,2018-07-12T15:06:00.000Z,,CLOSED,CLOSED,18-00362742,STANDARD,3225 ADAMS MILL ROAD NW,395997.03,140493.03,38.93231067,-77.04616792,WASHINGTON,DC,20010,233417,1
-77.028760805048833,38.953886755100704,514,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2018-07-13T11:28:32.000Z,,2018-08-02T11:28:00.000Z,2018-07-13T11:28:32.000Z,Y,,,OPEN,OPEN,18-00373574,STANDARD,1226 INGRAHAM STREET NW,397507.26,142886.72,38.95387929,-77.02875851,WASHINGTON,DC,20011,252961,4
-76.991115058909003,38.946479027332458,515,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2018-07-13T11:29:18.000Z,,2018-08-02T11:29:00.000Z,2018-07-13T11:29:18.000Z,Y,,,OPEN,OPEN,18-00373578,STANDARD,1042 BUCHANAN STREET NE,400770.41,142064.04,38.94647156,-76.99111278,WASHINGTON,DC,20017,74853,5
-77.004064626271827,38.916832052443901,516,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2018-07-03T20:38:57.000Z,2018-07-11T08:58:05.000Z,2018-07-24T17:00:00.000Z,2018-07-03T20:38:57.000Z,Y,2018-07-11T08:57:00.000Z,,CLOSED,CLOSED,18-00352544,STANDARD,169 U STREET NE,399647.7,138772.94,38.9168246,-77.00406234,WASHINGTON,DC,20002,58106,5
-77.03497047372943,38.936571228544302,517,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2018-07-17T11:57:28.000Z,2018-07-20T07:20:01.000Z,2018-08-06T11:57:00.000Z,2018-07-17T11:57:28.000Z,Y,2018-07-20T07:20:00.000Z,,CLOSED,CLOSED,18-00381183,STANDARD,1510 SPRING PLACE NW,396968.28,140964.73,38.93656377,-77.03496818,WASHINGTON,DC,20010,234794,1
-77.018251037427419,38.91518775756645,518,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2018-07-18T11:03:01.000Z,,2018-08-07T11:03:00.000Z,2018-07-18T11:03:01.000Z,Y,,,OPEN,OPEN,18-00383693,STANDARD,1835 5TH STREET NW,398417.37,138590.56,38.9151803,-77.01824875,WASHINGTON,DC,20001,229928,1
-76.993739329374961,38.958174096474373,519,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2018-07-19T10:00:16.000Z,,2018-08-08T10:00:00.000Z,2018-07-19T10:00:16.000Z,Y,,,OPEN,OPEN,18-00386160,STANDARD,830 OGLETHORPE STREET NE,400542.83,143362.28,38.95816663,-76.99373704,WASHINGTON,DC,20011,81081,4
-77.02468009728652,38.905946538409822,520,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2018-06-29T08:38:46.000Z,2018-07-06T11:38:41.000Z,2018-07-19T17:00:00.000Z,2018-06-29T08:38:46.000Z,Y,2018-07-06T11:38:00.000Z,,CLOSED,CLOSED,18-00342799,STANDARD,915 M STREET NW,397859.53,137564.84,38.90593908,-77.02467781,WASHINGTON,DC,20001,239776,2
-77.008715586853256,38.913720679319326,521,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2018-06-29T08:39:25.000Z,2018-07-13T14:04:59.000Z,2018-07-19T17:00:00.000Z,2018-06-29T08:39:25.000Z,Y,2018-07-13T14:04:00.000Z,,CLOSED,CLOSED,18-00342800,STANDARD,1737 NORTH CAPITOL STREET NE,399244.32,138427.58,38.91371322,-77.0087133,WASHINGTON,DC,20002,56771,5
-76.993927490077212,38.887937121996202,522,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2018-06-26T10:24:24.000Z,2018-07-10T12:52:39.000Z,2018-07-17T10:24:00.000Z,2018-06-26T10:24:24.000Z,Y,2018-07-10T12:52:00.000Z,,CLOSED,CLOSED,18-00334675,STANDARD,107 9TH STREET SE,400527.04,135565.38,38.88792967,-76.99392521,WASHINGTON,DC,20003,304254,6
-77.038937269475312,38.927462394750016,523,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2018-07-19T13:40:38.000Z,,2018-08-08T13:40:00.000Z,2018-07-19T13:40:38.000Z,Y,,,OPEN,OPEN,18-00387072,STANDARD,1649 HARVARD STREET NW,396623.93,139953.71,38.92745494,-77.03893497,WASHINGTON,DC,20009,236386,1
-77.028494962959783,38.907058291535108,524,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2018-07-03T10:27:57.000Z,2018-07-18T15:17:39.000Z,2018-07-24T10:27:00.000Z,2018-07-03T10:27:57.000Z,Y,2018-07-18T15:17:00.000Z,,CLOSED,CLOSED,18-00350605,STANDARD,1200 N STREET NW,397528.68,137688.35,38.90705084,-77.02849267,WASHINGTON,DC,20005,226383,2
-77.035228404675834,38.910952024454673,525,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2018-07-16T12:01:08.000Z,,2018-08-03T12:01:00.000Z,2018-07-16T12:01:08.000Z,Y,,,OPEN,OPEN,18-00378226,STANDARD,1512 Q STREET NW,396944.82,138120.79,38.91094457,-77.03522611,WASHINGTON,DC,20009,225633,2
-77.023061834125429,38.936158722229159,526,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2018-07-18T11:52:32.000Z,,2018-08-07T11:52:00.000Z,2018-07-18T11:52:32.000Z,Y,,,OPEN,OPEN,18-00383945,STANDARD,749 QUEBEC PLACE NW,398000.74,140918.61,38.93615126,-77.02305954,WASHINGTON,DC,20010,228422,1
-77.025400015781855,38.904434422264373,527,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2018-07-09T11:02:15.000Z,2018-07-18T13:48:37.000Z,2018-07-27T11:02:00.000Z,2018-07-09T11:02:15.000Z,Y,2018-07-18T13:48:00.000Z,,CLOSED,CLOSED,18-00361888,STANDARD,933 L STREET NW,397797.04,137397,38.90442697,-77.02539772,WASHINGTON,DC,20001,239808,2
-77.031313520168624,38.923557418038719,528,S0311,Rodent Inspection and Treatment,DOH- Department Of Health,DOH,1,2018-07-05T17:09:05.000Z,2018-07-11T07:21:51.000Z,2018-07-25T17:00:00.000Z,2018-07-05T17:09:05.000Z,Y,2018-07-11T07:22:00.000Z,,CLOSED,CLOSED,18-00356053,STANDARD,1354 EUCLID STREET NW,397284.84,139519.97,38.92354996,-77.03131123,WASHINGTON,DC,20009,284003,1
